text,department
heavy bleeding is bothering me for 2 days. it started suddenly.,Gynecology
there is child cough happening since 2 days. it is not improving.,Pediatrics
i feel heavy bleeding continuously for 3 days. it started suddenly.,Emergency
experiencing severe acid reflux since a week. it started suddenly.,Gastroenterology
experiencing severe vomiting since since morning. it is not improving.,Gastroenterology
dealing with dry eyes for 2 days now. it is not improving.,Ophthalmology
facing chiwd cough and it feels serious. the pain is increasing.,Pediatrics
wheezyng is bothering me for 2 days. it is not improving.,Pulmonology
having stomach pain from past one day. it started suddenly.,Gastroenterology
having unconsciousness from past past 4 days. it started suddenly.,Emergency
i feel fatigue continuously for 3 days. it started suddenly.,Endocrinology
i have been experiencing shoulder pain for 2 days. it is getting worse.,Orthopedics
dealing with blurred vision for a week now.,Ophthalmology
facing eye pain and it feels serious.,Ophthalmology
suffering from weakness since 2 days. i am very worried.,General Medicine
suffering from voice hoarseness since 2 days. it is getting worse.,ENT
experiencing severm high blood sugar since since morning. it is getting worse.,Endocrinology
suffering from knee pain since 2 days. it is not improving.,Orthopedics
dealing with child cold for since morning now. it is not improving.,Pediatrics
experiencing severe severe breathing issue since past 4 days. the pain is increasing.,Emergency
i have been experiencing dry eyes for two weeks.,Ophthalmology
suffering from acne since last night. it is getting worse.,Dermatology
facing irregular periods and it feels serious. it started suddenly.,Gynecology
dealing with anxiety for 2 days now. the pain is increasing.,Psychiatry
i feel heavy bleeding continuously for 3 days.,Gynecology
there is child cold happening since few hours. it is getting worse.,Pediatrics
dealing with irregular periods for a week now. it started suddenly.,Gynecology
i feel body pain continuously for 3 days. the pain is increasing.,General Medicine
heart palpitations is bothering me for two weeks. the pain is increasing.,Cardiology
experiencing severe persistent cough since one day. it is getting worse.,Pulmonology
dealing with seizures for past 4 days now. it is not improving.,Neurology
i feel menstrual cramps continuously for few hours. it is not improving.,Gynecology
there is child cough happening since since morning. it started suddenly.,Pediatrics
there is bloating happening since since morning. it started suddenly.,Gastroenterology
facing excess thirst and it feels serious. the pain is increasing.,Endocrinology
i have been experiencing period delay for since morning. it is not improving.,Gynecology
i feel skin rash continuously for since morning.,Dermatology
there is headache happening since one dac.,Neurology
i feel heavy bleeding continuously for last night. it is getting worse.,Gynecology
suffering from cough since since morning. the pain is increasing.,Pulmonology
i feel shortness of breath continuously for 2 days. it is getting worse.,Pulmonology
dizziness is bothering me for one day. it is not improving.,Neurology
shortness of breath is bothering me for past 4 days. it is not improving.,Cardiology
irregular periods is bothering me for two weeks. it is not improving.,Gynecology
suffering from shortness of breath since last night. it started suddenly.,Pulmonology
i have been experiencing vomiting in child for past 4 days. it started suddenly.,Pediatrics
suffering from hormone imbalance since since morning.,Endocrinology
stress is bothering me for last night. it is not improving.,Psychiatry
there is skin rash happening since onf day. i am very worried.,Dermatology
suffering from sinus pain since since morning. the pain is increasing.,ENT
i have been expiriencing ear pain for last night. it is not improving.,ENT
facing panic attacks and it feels serious. i am very worried.,Psychiatry
suffering from urine infection since 2 days. the pain is increasing.,Urology
facing pelvic pain and it feels serious.,Gynecology
experiencing severe stomach pain since past 4 days. it is not improving.,Gastroenterology
dealing with menstrual cramps for one day now. it is not improving.,Gynecology
i feel joint swelling continuously for few hours. i am very worried.,Orthopedics
dealing with acid reflux for last night now. the pain is increasing.,Gastroenterology
facing depression and it feels serious. it is not improving.,Psychiatry
i feel severe breathing issue continuously for one day.,Emergency
dealing with eczema for past 4 days now. it is getting worse.,Dermatology
facing breathing difficulty and it feels serious. it is not improving.,Pulmonology
facing sleep issues and it feels serious. the pain is increasing.,Psychiatry
experiencing severeydry eyes since few hours. the pain is increasing.,Ophthalmology
facing pelvic pain and it feels serious. it is not improving.,Gynecology
having fever from past 2 days. it started suddenly.,General Medicine
suffering from chest pain since one day. i am very worried.,Cardiology
having shoulder pain from past a week. it is not improving.,Orthopedics
having eye redness from past past 4 days. the pain is increasing.,Ophthalmology
experiencing severe acne since since morning. it is getting worse.,Dermatology
there is wheezing happening since 3 days. it is getting worse.,Pulmonology
having breathing difficulty from past 3 days. it is not improving.,Pulmonology
i feel shortness of breath continuously for last night. it is gettisg worse.,Cardiology
having ear pain from past last night. the pain is increasing.,ENT
suffering from dry eyes since last night. it started suddenly.,Ophthalmology
there is frequent urination happening since two weeks. it is getting worse.,Urology
i have been experiencing fracture for past 4 days. the pain is increasing.,Orthopedics
vomiting is bothering me for a week. it started suddenly.,Gastroenterology
dealing with rash in child for past 4 days now. the pain is increasing.,Pediatrics
i feel child cold continuously for 3 days. it started suddenly.,Pediatrics
facing lower abdominal pain and it feels serious. it is getting worse.,Urology
experiencing severe period delay since 3 days. i am very worried.,Gynecology
dealing with rapid heartbeat for one day now. it is not improving.,Cardiology
experiencing severe high blood sugar since two weeks. the pain is increasing.,Endocrinology
i feel sore throat continuously for 3 days. it is getting worse.,ENT
i feel accident injury continuously for past 4 days. i am very worried.,Emergency
i have been experiencing urine infection for few hours. it is not improving.,Urology
there is knee pain happening since past 4 days. i am very worried.,Orthopedics
experiencing severe headache since 3 days.yit is not improving.,Neurology
i have been experiencing chest congestion for last night.,Pulmonology
i feel eye pain continuously for one day. it is not improving.,Ophthalmology
experiencing severe major trauma since few hours. it started suddenly.,Emergency
i have been experiencing itching for 3 days. it is getting worse.,Dermatology
i have been experiencing general discomfort for last night. i am very worried.,General Medicine
facing diarrhea and it feels serrous.,Gastroenterology
having double vision from past past 4 days. the pain is increasing.,Ophthalmology
experiencing severe child stomach pain since a week. it is not improving.,Pediatrics
dealing with eye redness for few hours now. the pain is increasing.,Ophthalmology
i feel breathing difficulty continuously for few hours.,Pulmonology
experiencing severe child cough since two weeks. i am very worried.,Pediatrics
facing blood in urine and it feels serious. the pain is increasing.,Urology
dealing with headache for two weeks now.,Neurology
having fracture from past since morning. it started suddenly.,Orthopedics
having headache from past few hours. i am very worried.,Neurology
experiencing severe child fever since past 4 days. it is not improving.,Pediatrics
i have been experiencing blocked nose for last night. it gs getting worse.,ENT
facing ankle injury and it feels serious. it is getting worse.,Orthopedics
there is heavy bleeding happening since past 4 days. i am very worried.,Emergency
experiencing severe sinus pain since two weeks. it is not improving.,ENT
i feel watery eyes continuously for 3 days. the pain is increasing.,Ophthalmology
there is seizures happening since one day.,Neurology
there is blurred vision happening since two weeks. it is not improving.,Ophthalmology
having burning urination from past one day. it started suddenly.,Urology
experiencing severe fracture since few hours. it started suddenly.,Orthopedics
having stress from past last night.,Psychiatry
suffering from child fever since past 4 days.,Pediatrics
experiencing severe fatigue since past 4 days. i am very worried.,Endocrinology
there is lower abdominal pain happening since a week. it ii getting worse.,Urology
experiencing severe stress since last night.,Psychiatry
i have been experiencing excess thirst for since morning.,Endocrinology
i have been experiencing child cough for few hours. the pain is increasing.,Pediatrics
i have been experiencing abdominal cramps for two weeks. i am very worried.,Gastroenterology
dealing with child cough for since morning now. it started suddenly.,Pediatrics
memory loss is bothering me for 3 days. it is not improving.,Neurology
i teel tightness in chest continuously for 3 days. i am very worried.,Cardiology
facing pelvic pain and it feels serious. i am very worried.,Gynecology
experiencing severe stomach pain since 2 days. it is not improving.,Gastroenterology
having cough from past past 4 days. it is not improving.,Pulmonology
i feel eye pain continuously for 2 days. the pain is increasing.,Ophthalmology
experiencing severe body pain since last night. i am very worried.,General Medicine
anxiety is bothering me for last night. i am very worried.,Psychiatry
having period delay from past 2 days. it started suddenly.,Gynecology
there is knee pain happening since few hours.,Orthopedics
suffering from acne since last night.,Dermatology
i have been experiencing red spots on skin for past 4 days. it started suddenly.,Dermatology
there is itching happening since few hours. i am very worried.,Dermatology
having severe chest pain from past one day. i am very worried.,Emergency
i have been experiencing weakness for last night. i am very worried.,General Medicine
facing weight gain and it feels serious. it started suddenly.,Endocrinology
suffering from ear discharge since two weeks. it is not improving.,ENT
there is chest congestion happening since past 4 days. the pain is increasing.,Pulmonology
ankle injury is bothering me for past 4 days. it started suddenly.,Orthopedics
there is ear discharge happening since few hours. it is getting worse.,ENT
i have been experiencing chest pain for few hours. it is getting worse.,Cardiology
suffering from blocked nose since 2 days. it is not improving.,ENT
there is cough happening since last night. it started suddenly.,Pulmonology
having ear discharge from past 2 days.,ENT
i have been experiencing major trauma for one day.,Emergency
suffering from viral infection since last night. i am very worried.,General Medicine
vomiting is bothering me for last night. it is getting worse.,Gastroenterology
there is diarrhea happening since 2 days.,Gastroenterology
suffering from depression since few hours. the pain is increasing.,Psychiatry
child stomach pain is bothering me for 3 days.,Pediatrics
facing memory loss and it feels serious.,Neurology
dealing with red spots on skin for one day now. it is not improving.,Dermatology
facing depression and it feels serious. i am very worried.,Psychiatry
experiencing severe severe chest pain since one day. i am very worried.,Emergency
having migraine from past few hours. the pain is increasing.,Neurology
facing breathing difficulty and it feels serious. i am very worried.,Pulmonology
i feel shortness of breath continuously for last night. it is getting worse.,Cardiology
pressure in chest is bothering me for past 4 days. it is not improving.,Cardiology
i feel joint swelling continuously for past 4 days. it is getting worse.,Orthopedics
knee pain is bothering me for past 4 days. it started suddenly.,Orthopedics
experiencing severe unconsciousness since 2 days. the pain is increasing.,Emergency
